ritual_number,paragraph
393,"An important sacrifice is made for the re-opening of the forest (abo lese or sulia). Continuously bad hunting may be attributed to the anger of the God of the Undergrowth. Under the circumstances all the weapons in the camp are brought out and placed in a pile in the center of the clearing. The hunters stand around in a circle, each with an arm held over the weapons. The transgressor, who had divided game he had caught without waiting for the elder, brandished a live chicken over the center of the circle praying for success in the hunt. In the invocation he mentioned Bali (local name for the God of the Undergrowth), “fathers,” “grandfathers,” and the name of his own father who had apparently been an outstanding hunter. Then the elder cut off the head of the chicken, sprinkled blood on the weapons and the arms of the hunters, and threw the fluttering carcass onto the ground. Everyone watched which way it moved, and when it finally fell with the stump of its neck pointing toward the forest, this was taken as a good omen and there was a shout of joy. The wife of the elder then took the carcass and invoked Bali and the ancestors, asking them to give their children game again. The dead chicken was then given to a woman married into another band who, together with her children, ate it. This woman's son, a nephew of the band concerned, built a small hut ( sa'a ) near the elder's hut, and placed in it the heart and liver of the chicken; the head was stuck on a stake above. The elder made an invocation for game to both Bali and the befe (sprites)."
394,"Invocations usually concern the weather (requests for a storm to pass over speedily or to be diverted) and are often accompanied by the blowing of the segbe magic pipe, indicating with the arm the direction the storm should take. The archers also may light a special fire and cover it with leaves so that a thick smoke rises. The God of the Undergrowth sees the smoke, smells its fragrance, and hears the segbe pipes. His attention is thus drawn to the plight of his “children.”"
395,"All Mbuti are said by Schebesta to offer a portion of food to the God of the Undergrowth. We can take this to apply to the archers. The practice seems to concern only food that has been hunted or gathered--game, honey, and vegetable products. The offering, never made with great fervor, may simply be thrown into the undergrowth, either in silence or with a brief comment such as “ Mugu! daó a iye! ” (“ Mugu! This is for you!”). Alternatively, it may be placed on a leaf and taken with care into the forest and put in the fork of a tree, with or without an invocation. Stakes may be used, driven into the ground, forked into three or more branches at the upper end. Clay pots (obtained from villagers) or potsherds are placed in these forks for the offerings. Holes in the sides of trees are also used as a depository for offerings. The Mbuti do not usually use special shrines or spirit huts."
396,"The first of the annual cycle of village festivals was called Denbilsia and was observed after the completion of the clearing of the new swiddens, generally in January to February Denbilsia was a one-day festival and was held at the nokma’ s house. During the morning of the festival day, all the people gathered in front of the nokma’ s house, where a bamboo altar was set up. Around noon, the nokma sacrificed a pig or a goat at this altar. After the sacrifice, the animal’s flesh was cut up and cooked, along with other foodstuffs, such as rice, fish, and other kinds of meat, and these were offered to all the villagers at a feast sponsored by the nokma. The nokma would also provide liberal amounts of rice-beer which the villagers drank all day long. After the feast, in the afternoon, the people would dance, sing and make music, activities which were continued until about midnight, when the villagers would return home to sleep."
397,"The second festival, Agalmaka, was observed after the swiddens had been fired. The festival began with the nokma sacrificing a cock in his own swidden, after which the head of every household in the village would offer an egg, each in his own field. Although the sacrifice and offerings were accomplished in a single morning, the festival itself lasted for several days. On the first day the nokma sponsored a feast for his villagers. After eating and drinking, the people would make music, dance and sing at the nokma’ s house. On the following days people would visit each other’s houses, the arrangements for food, drink, dancing and singing being the responsibility of each individual household."
398,"Before seeds were sown in the swiddens, the Garo would observe the festival called Asiroka . On this occasion the nokma sacrificed a cock at a bamboo altar erected somewhere within the village itself. Following this sacrifice, the villagers would slaughter a cow, which they had purchased beforehand. This cow was not sacrificed to propitiate any mite, but simply killed for its flesh, which was distributed among the villagers according to the amount of money they had contributed for its purchase in the first place. After this distribution of meat, the villagers returned home to rest for the remainder of the day. The next day, each household head would sacrifice an animal (ox, pig, goat, or at least a cock, the kind of animal depending upon the household’s economic condition) in his own swidden. After the sacrifice the villagers would feast, dance and sing. But the following day was again set aside as a day of rest"
399,"Around June to July, when the padi was growing in the swiddens, the Garo would observe a festival called Miamua. This festival lasted only a single day and, during it, the nokma would sacrifice a pig in his own swidden and sponsor a feast for all the villagers. After the feast, which took place around noon, the people used to sing and play music. But they were forbidden on this occasion to beat drums. It was said that the beating of drums at this particular time could attract the attention of some malevolent mite."
400,"Before they harvested their swidden crops, the villagers would observe the festival called Rongchugala . This usually fell in August. On this occasion the nokma would offer the mite a special dish called rongchu, which is rice which has been cooked until dry and crisp. The rongchu was spread out on a banana leaf and kept in the nokma’ s house. After the nokma had made this traditional offering, there would be feasting, drinking and music-making. But, for the very same reason as at the Miamua festival, there would be no drumming or dancing on this occasion"
401,"After the harvest, in September, the Garo villagers observed the festival called Ahaia. On this occasion each household head would prepare a fish for the mite, the offering being made in the farmer’s own swidden. Then, for several days, there would be much feasting, drinking, dancing and music-making."
402,"The last festival of the annual cycle was Wangala and this was the greatest celebration of them all. It would be observed about a month after Ahaia, at a time when the Garo villagers were completely free from farm work, having brought in their harvest even before Ahaia . The Wangala festival would last for several days. The first day would find the villagers busy slaughtering cows, which they had purchased earlier for this purpose. These animals were killed solely for their meat, not as a sacrifice to the mite. Several households joined together to purchase an animal and would share the meat among themselves according to the amount of money they had contributed to the purchase price. It was essential for every household to have meat to offer their guests on this great festive occasion. On the second day of Wangala, the nokma made offerings to the mite inside his house. Known as churugala, this ceremony involved the pouring of some chu, or rice-beer, and the placing of other offerings (cooked rice, an onion, a root of ginger, and a squash), all set out on a banana leaf, at an especially sacred place known as the dinsam. This place could be located at any corner of the nokma’ s main sleeping room ( din ) and it was here that he kept the sacred drums, other musical instruments, his sword, shield, etc . After these offerings had been made, the villagers decorated the posts and beams of the nokma’ s house by making handprints on them with a paste of flour and water. Having thus decorated their leader’s house, the villagers helped each other decorate their own buildings in exactly the same fashion. Feasting, drinking, music-making and dancing lasted for several days. First, each household would visit the nokma’ s house, after which it would visit every other house in the village. At each establishment, the guests would be honoured with food and drink, music and dance."
403,"When a man or woman dies, the body is washed, with chu-b˘itchi or undiluted liquor if the deceased was a nokma or a rich man, or with water if he was poor. A pillow of loose, unginned cotton is placed under the head of the corpse. A young chicken is tethered to the big toe of either the right or left foot, with a sufficient length of string to allow it to walk about on the floor. a small basket filled with uncooked rice, is then placed close to the dead person’s head. On the rice an egg is placed, and round the egg, cock’s tail feathers are planted in the rice. A small basket of uncooked rice is then laid near the foot of the corpse for the chicken to eat. A pot of liquor is placed behind the head of the corpse, and lastly, the floor near the head is covered with pieces of plantain leaf, upon which have been heaped cooked rice and various kinds of animal food. The valuable property of the deceased’s household, such as ornaments and clothes, is then hung round about him as he lies in state. The corpse having been thus laid out, is allowed to remain for two days and a night, and is burned on the second night. During this period, watch is constantly kept by women, with whom is generally the kamal or priest. These keep up an almost unceasing dirge, which consists of a recital of the good deeds and qualities of the deceased, and of a prayer that his spirit may be guided safely to its appointed place. While this dirge is being sung, one of the singers beats in slow time on the floor with a piece of wood or the shuttle of a Garo loom, or uses a pair of small cymbals. In order that the watchers of the dead shall not go to sleep, the young men of the village dress up as wild beasts and come into the house of mourning to frighten the women with their howls and antics. These are represented in a very crude fashion, for the actors merely smear their faces with ashes or some other white substance, or wear masks made out of pieces of plantain stem. This pantomime is considered an important part of some funeral ceremonies. During the lying-in period, the kamal, who is a man well-versed in the funerary incantations and rituals, advises the soul how it may safely reach the land of the dead. The kamal recites this incantation many times, right up until the time that the corpse is cremated."
404,"On the day of the cremation, but before the corpse is removed, a preparatory ceremony, known as ja ‘ragata or the bringing home of the spirit, is performed. Among the Akawés it consists of the following. The relations of the dead go in procession from the house in which he died to that of his mother. When the distance is not too great, they lead a cotton string from one house to the other. I witnessed it once when the sister of a laskar died in a village not far from Garobadha. The woman’s own home was near Damalgiri, about eleven miles from where she died. The ja ‘ragata party marched to the spot where she had died and been burned, and back to her mother’s house. First went a man carrying on his back a large pot of liquor, an essential on such an occasion. Behind him came six or seven boys beating gongs, a man blowing a singa or buffalo-horn trumpet, and, last of all, another man beating a kram, or drum of the pattern used on solemn occasions."
405,"As for the disposal of the corpse, it is cremated on a pyre, known as a ganchi, which is built on any open space within the village area. First, four wooden posts are set up and wood and bamboo fuel piled up within the space so formed. Then, the corpse is placed atop this pyre. To one of the four funerary posts are tied some of the deceased’s clothing, a few of his or her agricultural implements, household utensils and ornaments, especially brass earrings. Responsibility for setting alight the funeral pyre rests with the kamal. And, when the last part of the body is about to be consumed by the flames, he must slaughter an animal. The purpose of this sacrifice is to release the soul of the slaughtered animal so that it may accompany the dead person’s soul to Chikmang. The flesh of the sacrificed beast is eaten by those who have worked to build the funeral pyre and others who have attended the ceremony."
406,"After the cremation, the deceased’s ashes are disposed of somewhere in the forest, but any bones which have survived the flames are gathered up and placed inside an earthenware jar which is then buried somewhere near the deceased’s house. At this burial place, a small bamboo platform, called a delang, is set up. The blood of the chicken sacrificed at the cremation is smeared on it and offerings of rice and curry relishes, the normal food of the living, are made to the soul of the deceased, at least once a day for the whole period from the cremation until the performance of the post-funerary ceremony."
407,"The post-funerary ceremony comprises a great feast, with dancing and singing, and lasts for two to three days. Sponsored by the dead person’s household, nobody has to receive a special invitation to attend the feast. The villagers are expected to come along, uninvited, and to join in the eating, singing and dancing. In the event of a really grand feast, villagers from other Garo communities will come along as well. The ceremony ends when all the food and drink prepared for the occasion has been consumed. In the evening of that final day, the delang is destroyed by fire and its ashes covered over with earth. I was told by some informants that one could determine what form of reincarnation the deceased’s soul would eventually take by observing the ground where the ashes of the delang had been covered with earth."
408,"Asongtata ceremony. Close to the outskirts of every big village a number of stones may be noticed stuck into the ground, apparently without order or method. These are known by the name of asong, and on them is offered the sacrifice which the Asougtata demands. The sacrifice of a goat takes place, and a month later, that of a langur ( Entcllus monkey), or a bamboo-rat is considered necessary. The animal chosen has a rope fastened round its neck and is led by two men, one on each side of it, to every house in the village. It is taken inside each house in turn, the assembled villagers, meanwhile, beating the walls from the outside, to frighten and drive out any evil spirits which may have taken up their residence within. The round of the village having been made in this manner, the monkey or rat is led to the outskirts of the village, killed by a blow of a duo, which disembowels it, and then crucified on bamboos set up in the ground. Round the crucified animal long, sharp bamboo stakes are placed, which form chcvaux de frisc round about it. Those commemorate the days when such defences surrounded the villages on all sides to keep off human enemies, and they are now a symbol to ward off sickness and dangers to life from the wild animals of the forest. The langur required for the purpose is hunted down some days before, but should it be found impossible to catch one, a brown monkey may take its place."
409,"In case of severe illness the denjaringa ceremony, is performed. Near the stream from which the invalid obtains his supply of water a place is cleared in the jungle, and on this open spot a sambasia is erected together with various bamboo receptacles for offerings of rice, cotton, etc. The officiating kamal or priest sacrifices a fowl, smears its blood as usual over the sambasia, and plasters the bamboos with the bird’s feathers. He then ties one end of a cotton thread to the sambasia, leads it to the sick man’s house and fastens the other end in the room in which he is lying. On the string a sprig of kimbal leaves is hung. The idea is that if the sick man’s spirit leaves his body it may be induced to return by the prayers of his friends, and will be able to find its way back by means of the thread as a guide. Outside the house the priest takes up his stand, and during the whole day calls upon Tatara-Rabuga to cure the sick person. A horn is blown continuously the while to frighten away the evil spirit which is afflicting the sick man. When night falls, if there has been no change in his condition, the priest addresses his prayers to the spirit Bidawé, who steals the souls of men, and continues his intercession as before. This having been kept up until a late hour, the cotton string is examined where the leaves were hung, and if it shows any sign of having sagged, it is believed that the sick man’s spirit has come back, and that he will recover. The string is then broken, and a piece of it tied round the neck of the invalid; drums and musical instruments strike up in his room, and his relations greatly rejoice. When I was told about this, I suggested that the last part of the performance was rather drastic treatment, and that it must often prove fatal to the patient; but I was told that, on the contrary, the moral effect of a belief that the gods had heard the prayers, cheered the patient and buoyed him up so greatly, that the pandemonium created by the musical instruments in so confined a space, did him no harm."
410,"After the rice harvest has been fully gathered in, the great sacrifice and festival of the year, the Wangala or Guréwata takes place. This is the most festive observance of the year, and combines religious sacrifice with much conviviality. The cost of the entertainment falls principally on the nokma of the village, who provides a pig to be eaten by his guests, and plenty of liquor. Among the Akawés and Chisaks of the north and north-eastern hills a curious feature of the ceremony is the manufacture of guré or “horses” out of pieces of plantain-stem for the body, and of bamboo for the head and legs. The image of the “horse” is laid on the floor of the nokma’s house, and the assembled guests dance and sing around it the whole night long, with the usual intervals for refreshments. Early the next morning, the “horse” is taken to the nearest river and launched on the water to find its way down stream on the current. For those who possess the necessary paraphernalia, the guré takes the shape of a horse’s head of large size, made of straw, and covered with cloth. The head is mounted on a stick, which a man holds before him in such a way that the head comes up to the level of his chest. Two straps pass over his shoulders to relieve his hands of the weight. The body of the “horse” is then built round his own body with cane and cloth. For a tail, yak’s tails are fastened in with his own hair, which, for the occasion, is allowed to hang down instead of being tied up. The performer commences to dance a shuffling step to the usual music. In front of him dances the priest, who goes through the pantomime of beckoning to the animal to come to him. The remaining guests of the nokma form a line of dancers behind the “horse”. When the first man gets tired, another takes his place, and the dancing goes on right through the night. A pleasant part of the performance is the pelting of the guré with eggs. Strictly speaking, this festival should last for three days and two nights. When it is over, the guré is taken to a stream and the body thrown into the water, the head being preserved for another year. The people who come to see it off, bring rice with them, and a meal by the water’s edge closes the proceedings. At the Wangala, it is the custom to mix flour with water, and for the assembled people to dip their hands into the mixture and make white hand-marks on the posts and walls of the house and on the backs of the guests."
411,"Pongsi-nina. A thin slip of bamboo about a foot long is tied into a bow with a piece of cotton thread. At one end of the bow a short length of string is allowed to hang down. This loose end is rubbed on the body of the sick person who seeks information. The priest then lifts up the bow by the tight string, holding it lightly between the forefinger and thumb of the right hand, while with the left hand he supports the right wrist. He then commences to call upon the gods by name, one after the other, and it is declared that the bow will begin to oscillate when he reaches the name of the spirit to whom sacrifice must be offered."
412,"Risal-nina. A cup of water and some grains of uncooked rice are required. Holding the cup of water in his left hand, the priest drops the rice into it, grain by grain, calling out the name of a spirit as each grain falls. The spirit named at the moment in which two floating grains come in contact with each other, is the one who must be propitiated."
413,"When a woman is about to be confined of the birthing, her husband vows to offer up a sacrifice of a bull, a goat, or a fowl, according to his means, if the child is safely born. The vow is fulfilled immediately after the birth, or, if the labour is of long duration, some time after its commencement. The animal or bird is killed outside the house by the kamal, who recites a long incantation to avert the influence of evil spirits. The women who are attending the expectant mother have a like duty to perform. Rice is scattered on the floor of the house round their patient, and a chant kept up, of which the following is a translation: “Go away! go away! evil spirit; in the way of the n °ama, of the na °sa, of the banggni, and of the giljaré do not stand watching; do not prevent it; do not wait for it; do not watch; do not lick; do not swallow; do not smack your lips; do not let your mouth water.” The names above mentioned are those of fish, and they are intended as symbols for the child which is about to enter the world."
414,"Should the birth be long deferred, a goat is brought into the house, and its body placed in contact with that of the woman. At the same time the kamal takes a little water in his mouth, blows it in a fine spray over the woman, and utters the word “ poinrang, ” which seems to be nearly equivalent to “good luck.”"
415,"As soon as the navel string on the child has fallen off, the mother and infant are taken down to a stream and bathed. Before starting for the bath, a long bamboo is forced through the roof of the house into the main room, close to the wall of the sleeping apartment, and through the floor to the ground beneath. At the foot of this bamboo, in the house, a sambasia or sacrificial altar, is erected. On the return from the bath, the baby’s head is shaved, this is known as kni minsu gala, a little patch of hair is left untouched on the top of the head. The priest then offers a prayer at the altar for the happiness of the child."
416,"After the head shaving the child’s father climbs up on to the roof of the house, taking with him the sambasia (altar) and a fowl. He cuts off the bird’s head, and allows its blood to drip down the above-mentioned bamboo, on to the floor beneath. The bamboo is then cut through by the priest, and the father, having hauled it up, throws it and the sambasia away. He also throws to the ground the body of the fowl, and where it falls, there must it be cooked and eaten. The father of the child and the priest alone are allowed to partake of it; any friends who may have assembled being treated to liquor only. The beak and crop of the fowl are placed on a piece of plantain leaf and offered to the gods."
417,
418,"Throwing the firestick, marks the beginning of the work of the gods rites. Attended by only a few people this ritual involves waiting for a stick to burn through on a fire. Once this is done an assistant powders some of the charcoal on a stone, presses his finger in it and draws a line down the forehead of the chief. This marks the beginning of certain restrictions on behavior."
419,"Resacralisation of canoes, faunga vaka. This occurs over 3 days (the day of the adze, the day of the Elders and the day of the canoe rites). In short the whole period involves repeated recitation of formulas that protect participants from the deities as they remove the sacred adze from its temple and demand efficacy of the canoe rituals being performed. The vessels are anointed with oil and an offering of bark-cloth is made to its tutelary deities. Numerous kava rites are performed during this period. The object of the rituals is to ensure that fishing is successful."
420,‘A primitive communion feast’ (Firth). Yam tubers are taken out of the oven and the bearer of the yams runs through the doorway and distributes them. Instead of the usual polite style he hurls them out. The men catch the yams in leaves and try to be the first one to eat a bite of theirs. Once this happens this man calls out. Another man enters and distributes more yams in the orthodox fashion. A kava libation is made. People eat their share of the food.
421,"Early in the morning after the clearing of the yam plots the rite of soani autaru was performed. In the clearing of the mara a single shrub has been left untouched in the middle of the field. Before sunrise a man arrives at the cultivation, and with a single stroke, if possible, cuts down the shrub and leaves it lying on the ground. A good swinging blow is used that the shrub may fall with a crash so that the deity may hear from the heavens, it is said. Then the man gathers a load of coconuts, together with breadfruit or other food, and returns to Kafika where a simple rite takes place. I attended this with six other people. It was the kava a niu, offerings being made of the coconuts, from which libations were poured when the kava was finished. Later the oven was prepared and when ready in the afternoon the ordinary minor kava was performed again. Appeals were made to the gods primarily for coconuts, then scarce, but since the sea was calm no reference was made to it."
422,"Sacred rites of planting. A man carrying a sacred stick goes ahead of the main party, into the darkness, torches are forbidden. Other participants leave later and race against the dawn to get the plateau where the cultivation occurs. On the plateau Ariki squatted down with his digging stick held before him, and the others formed a ring and followed suit, their sticks all pointing inwards. The bearer of the koso came up and, silently standing at the side of the Ariki, directed his sacred implement towards the same spot. Then the Ariki squatting thus, recited a short formula termed te fakasao o te puke, “The countenancing of the hillock”. As he concluded the formula he drove his stick into the ground and as he did so, uttered a ringing cry of “Iefu!”. As one man the crowd too drove in their sticks and yelled on the high shrieking note characteristic of the Tikopia. After the preliminary plunging-in of the sticks the hillock was dug properly. A formula wishing that the yam will grow well is spoken. A couple of leaves of coconut had been out and laid across the sacred hillock as a screen. A long pole was also cut, and to its upper end was attached the noa, a trailing strip of brand-new white barkcloth. The pole was set in the ground, and in the morning breeze the cloth streamed out like a pennant. The yells emitted at the beginning of the digging need explanation. They signalise the momentous occasion of the passing of the period of most intense tapu (restrictions), now that the sacred yam is once more being safely set in the soil when the yam is planted on Maunga it is the custom for the crowd to give a series of yells, and from time to time during the work the cry of some light-hearted lad goes ringing across the valley"
423,"The rites of Somosomo are composed of a series of incidents which, though in no way spectacular to a casual witness, are yet of the deepest religious interest to the natives. The rites begin with long and weighty invocation. This also was the comment on it of the Ariki Kafika who, in his pre-eminence, is careful to hold the scales even in regard to the relative importance of his elders. It must be noted that the attitude of these men towards each other is not one of struggle for position. Invocation and weeds are cleared. This is followed by the plaiting of the sacred mats. When the actual plaiting began the taboo of silence was imposed: the women might not speak to each other, nor the men to them. Thus the women on their return with the coconut fronds from Matorotoro expressed their indignation at another, not a participant, who had bathed that morning near the spot where the fronds lay. “No one should go near when the Work is in progress,” was the comment passed. While the mats were being thus arranged the oven was uncovered and the food when prepared was brought to the marae for the ceremonies, the “kava of the mats”. The kava was made with great formality on this occasion, although so few men were present to take part. Especial attention was paid to the seating of the principal participants, each being on the mat of his own deity. Exchange of marriage gifts. Plaiting of sacred baskets followed by kava ceremony. Provision of fish for the ovens. Then came the symbolism so characteristic of the Tikopia religion, the fiction that certain persons were for the time being deities in the flesh. The two baskets made during the afternoon were held to be baskets of Pufine ma, those two dread sisters who under various names find place in the kava list of nearly every family of note. When darkness fell the baskets were taken by two women, who went down to the beach and there personified the goddesses, receiving the tribute that was their due from the fisherfolk. Dirge song. Kava libation."
424,"The Dance to Quell the wind. Firth recorded more than sixty songs chanted during this festival of Marae. First, however, came the rite of “the Drinking,” which was essentially a series of kava libations connected with the offering of fresh coconuts to the Gods. The kava was made at Muafaitoka, cups being carried to the various Ariki in turn as already described. After this brief ceremony the chiefs went to join the crowd, which, after gathering at Fenumera, had gone to Matavi to await their arrival. The first dance was the Vetu. A hollow square was roughly formed, the people facing inwards with the side nearest Marae constituted by the chiefs alone. After a moment's silence all looked at the chiefs, and a wild yell broke out, “Iefu!” The song was now started, the time being kept by clapping of the hands with a rising motion. At first the demeanor was restrained and the arms alone were swung. Gradually however the rhythm was felt more and more deeply, and, though with no change of tempo, the excitement began to grow. Bodies turned in unison first to one side, then to the other, while the knees bent and rose in co-operation with the swinging of the arms. The song was chanted in high tones in quick time. The correct method of beating time was to lift them high up -- in completion of the movement. The more vigorous of the dancers thus exhorted the others “Lift them up”! in an endeavour to animate the proceedings still more. Towards the end of the stanza, when a kind of refrain was introduced with the words “Riele, riele”, the hands were not merely allowed to swing up and down, but urged up in a sweeping gesture, and the volume of sound waxed accordingly. As the dancers became more fired, stamping with the foot was also introduced to synchronize with the simultaneous clap of the hands. The spectacle was a dramatic one. Each song ended with a whoop that made all the cliffs of Uta echo and re-echo. A short pause ensued before the next song was raised, during which the participants remained silent, mostly with eyes cast down to the ground. It was noticeable also during the dance that the men avoided each others' eyes but looked up to the hills, or out over the lake. It was tapu to laugh or joke during the proceedings, since the dance was that of the gods. “It is tapu; male deities do not go to the women.” It was believed in fact that each party not only represented but actually embodied the deities of its own sex who had come to attend the singing. After four or five songs had been chanted the aso, or anea kamu, of betel was brought in. Two men set the bunches down in front of him, slightly to his right side, they did not turn round, but marched off the Marae by the opposite exit, with hands clasped and heads bowed in orthodox style. Thence they walked round again to the house, making a circuit, and entered with the second load, and after that a third, mainly of betel leaf. A special song was chanted for the bringing of the betel, but after this the singing of the men ceased. By now the dancing and singing had been pursued for nearly two hours. Hence the clapping was not nearly so vigorous as at the commencement, and some people made hardly more than a pretence at beating time. At last the songs ended, and the crowd dispersed. The “evening kava” was then performed, by each chief separately, his own bowl being set near his own seating mat."
425,"Dance of the Flaming Fire, which includes the Dance of the Bamboo. The latter is a sexual dance, involving participants acting like man in copulation. The words of the song are foreign to ordinary conversation: like those of the uru previously mentioned they are held to be archaic, and their meaning can be explained only by elderly, well-informed men. The stanzas do not embody any continuous statement or set of ideas, but merely present a number of words of erotic significance in conjunction. After the Dance of the Bamboo preparations were made to construct the Shed of the Fire, for the ritual of the night. The thatch of the shed had been pinned together by the households of the chiefs during the day, each chief himself as a rule taking part in its manufacture. While the dance of the matavaka was being performed in the late afternoon poles were cut and quickly set up in position on one side of the mound where the kava of Muafaitoka was made. The shed was completed just as it was getting dusk, and the evening kava was prepared immediately. Pa Rarovi, who had gone off alone, was meanwhile in his house preparing the torch; he waited until he considered that the correct time had arrived to perform his task. This was one of the crucial moments of the ritual, he knew that he could delay all the proceedings and keep the four chiefs waiting with impunity. He held the torch so that its end rested on the ground by the fire and the butt was inclined over his head. He then began to chant softly to himself and rubbed the end of the torch along the ground, approaching it slowly to the blaze, until it caught alight. This was the tutunga afi, the Kindling of the Fire. He moved off with stately step along the special track leading from his house to the main path, a way which was sacred, and was trodden only by the bearers of the Fire of the Gods. His progress was extremely sacred, and though people gathered at the entrance to Marae to await his approach, none might speak to him. The Sacred Fire was maintained thus all through the night, fresh taume being added whenever it died low. A man was always seated behind the leaf screen to tend it; in olden days, it was said, two men shared this task. When the watcher tired, after an hour or so, he made a sign to one of the dancers, and this man dropped out of the ranks and relieved him. In the dance men crouched motionless while the tempo of the song quickened and the rhythm changed from a single slow alternative beat to two single beats followed by two double beats. As the beat quickened still more, and the song swelled out there was a sudden movement from the crouching figures. With a simultaneous leap they sprang high into the air, throwing their arms above their heads, and waving across each other the palm fronds held in their hands. With an agility surprising in men of such heavy build they sprang again and again, almost without a sound, for they landed on their toes each time. It was tapu to thud to the ground in the dance. Even the waving of the palm fronds was done silently. They leaped and crouched, swung their leaf fans, and turned to one side and to the other with set gestures, in conformity with the rhythm. Then they stiffened again into immobility as each chanted stanza ended. It was a weirdly impressive spectacle, especially to one who saw it as I did, in the moonlight, which was yet not bright enough to give an air of reality to the scene. The song of the Bamboo in particular is an example of a sacred tauangutu. These songs, though usually erotic to a high degree, are not love-ditties. They are essentially of derisive kind, a challenge to the opposite sex, imputing bodily imperfections and absence of virtue, linked with unbridled desire. They are sung alternatively in challenge and answer and the object of the one sex is to reciprocate and if possible surpass the song of the other. The atmosphere is one of humour, and some of the songs have certainly wit in them. The concluding rite of the Urangafi was one of great sacredness. It was a kava rite of the ordinary type, but its specific object was to render the Marae tapu so that once again no one might set foot beyond the border of the path."
426,"First comes the ritual digging of the sacred turmeric. After the morning kava at Somosomo, on the fifth day of these rites, the Ariki Kafika orders one of his kinsfolk to perform this task. I did not see it done, but in 1929 was present when he sent off his son and another youth to dig up the hillock of turmeric he had planted in Maunga in the monsoon season. He said to them, “Bruise it to be pungent to the skies; it is the perfume of the Deity.” According to him, the operator plunges his digging stick in beside the plant and levers it up. As he recites a formula. This rite is known as “te furi o Te Akoako”, “the turning of the Akoako”. The idea is that the scent of the roots, levered up, rises to the sky, apprises the Atua i Kafika of the beginning of the work and induces him to grant good weather for it. “The Akoako is turned to act on the sky to stand well; the nuanga is going to be made.”"
427,"Nuanga, grating of turmeric. During these proceeding a number of rules or taboos limit the freedom of the workers. These are distinctly onerous, involving restrain in matters of food, sleep, physical relaxation, social and sexual intercourse. Their manifest object is to secure the final product in the proper state. From the evening of the day on which the turmeric is first grated a segregation of the nuanga workers begins. An intangible barrier now separates them from the rest of the village; they are “within the nuanga”, or “living in the nuanga”, and the rest are “the crowd without (te faoa i nga uta)”, or simply “those at the back (sa tua)”. Limited conversation is permitted between the two groups, but they may not sit or eat together. Once the expert sees that the turmeric has in fact settled firmly at the bottom he orders the bowl to be tipped up and the water poured completely off. The renga then appears as a dark red slime. The expert scrapes this out with his fingers into a small bowl held below; it comes away fairly cleanly, revealing beneath a yellow deposit of tauo. This is left untouched for the time, though a couple of cups of fresh water are run over its surface to wash down the last traces of renga. As each of the larger bowls is relieved of its renga into the smaller bowls, these are set as closely as possible round the marking stone of the rotoa. In this neighborhood, presumably, the manu is strongest. They are placed carefully on little mats specially plaited from coconut frond, wedged firm with pebbles, and covered over. There are two sets of these small bowls, one containing the bulk of the renga, the other the small amount of pigment held in the water with which the tauo was washed down. The renga is so precious that no trace of it is wasted; this is a ritual as well as technical precaution, since the deities would be offended at anything savoring of carelessness. The small bowls, kumete fai renga, are about two feet long by nine inches deep, and 25 or 30 of them are necessary for the work. Before use they are thoroughly washed out with salt water, and then with fresh, and then rubbed inside and out with the pauango residue."
428,"The annual dova for rain, when women pray collectively to ensure a fertile soil and a rich crop, they seek blessing not only for their own households, but for the village community as a whole. It was usually said that the event took place only in cases of severe drought, but in practice it seems to have been held annually anyway, to prevent drought later on in the summer. While the bula recites and says prayers, the participants hold their hands flat out toward the ground to illustrate rain falling. Every spring, in Dolina, there were prayers for rain at the three different sehits’ graves in the village."
429,"Friday prayer, sermon and prayers. In Dolina, between 5-7 people attend each week"
430,"The women’s tevhid involves congregational prayers for the dead. It is held five times following the death of any individual, male or female, usually in the house of the deceased. The first is held on the day the deceased is carried away from the house. The ritual is repeated on the seventh and fortieth days, after six months, and after a year. First, women’s tevhids are held at the home of the deceased and are led by a bula; men do not attend. Like the mevlud, the women’s tevhid is an occasion for individuals to strive to impress others and prove their capabilities both in religious matters, as by displaying religious knowledge and reciting well, and in secular activities as by cooking and organizing the event. A woman will also signal the socioeconomic status of her household and earn prestige by the manner in which she dresses (this is the case for all guests), the number of guests she entertains, the number of Islamic instructors called upon to recite, and the amount and quality of the food served. Following a series of amins, when the hands are held, palms up, in front of the face, the tevhid recitals finish with prayers “as a gift” in the name of the deceased (it is requested that the prayers be received on his or her behalf and for his or her benefit). Prayers are then given in the name of other deceased close relatives of the household sponsoring the tevhid, and of other participants who ask for it. Finally, prayers are said in the name of “all our deceased.” The local bula also used to say prayers on behalf of all deceased relatives of the hostess of the tevhid up to the “ninth degree.” After the recitals and prayers are over, women will engage in relaxed talk until they are invited to the table to eat. Food is usually served only once, except in prosperous households where it is served both before and after the recitals. Now they will meet women from other villages who may have news about relatives or neighbors from their native village. They exchange information about who has married, who has died, and who has had a child. They will also learn about forthcoming rituals and celebrations such as mevlud, tevhid, or weddings sponsored by other households."
